search URL:,https://patents.google.com/?q=CPC%253dA63B59%252f40&clustered=true
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-11046037-B2,Panel structure with foam core and methods of manufacturing articles using the panel structure ,"Gearbox, Inc.",Rafael G. Filippini,2015-01-06,2019-07-23,2021-06-29,2021-06-29,https://patents.google.com/patent/US11046037B2/en,https://patentimages.storage.googleapis.com/20/a8/c8/655e616938e306/US11046037-20210629-D00000.png
US-10197357-B2,Tactile biofeedback reference attachment ,Lanny L. Johnson,Lanny L. Johnson,2012-02-21,2018-08-27,2019-02-05,2019-02-05,https://patents.google.com/patent/US10197357B2/en,https://patentimages.storage.googleapis.com/d4/d3/0e/6a03d3a977df6e/US10197357-20190205-D00000.png
US-8609214-B1,Elastomeric film ,Fred A. Antonini,Fred A. Antonini,2003-09-04,2012-02-20,2013-12-17,2013-12-17,https://patents.google.com/patent/US8609214B1/en,https://patentimages.storage.googleapis.com/45/5f/7e/374c3d61a15dd4/US08609214-20131217-D00000.png
JP-6527238-B2,Table tennis competition progress system including a plurality of shock sensing sensors and table tennis competition score display method using the same ,"イエオウ エレクトロニクス インコーポレーテッド, イエオウ  エレクトロニクス  インコーポレーテッド","チャングホ パク，, チャングホ パク，",2014-11-20,2015-11-18,2019-06-05,2019-06-05,https://patents.google.com/patent/JP6527238B2/en,
US-9011279-B2,Throwing dart ,Lanny L. Johnson,Lanny L. Johnson,2012-02-21,2014-07-17,2015-04-21,2015-04-21,https://patents.google.com/patent/US9011279B2/en,https://patentimages.storage.googleapis.com/e8/69/3c/24b51839b8ab70/US09011279-20150421-D00000.png
US-7935009-B2,"System for picking up, tossing, and striking a ball ","Make Ideas, Inc.",Keith Alan MULLIN,2007-04-17,2010-04-16,2011-05-03,2011-05-03,https://patents.google.com/patent/US7935009B2/en,https://patentimages.storage.googleapis.com/86/7a/d6/1dd1af4e7b1b3d/US07935009-20110503-D00000.png
US-8371969-B2,Table tennis racket ,"Michelin Recherche Et Technique S.A., Compagnie Generale Des Etablissements Michelin","Daniel Berton, Adam Jara, Olivier Muhlhoff",2008-12-19,2009-12-16,2013-02-12,2013-02-12,https://patents.google.com/patent/US8371969B2/en,https://patentimages.storage.googleapis.com/a9/b6/19/0c16de97077b19/US08371969-20130212-D00000.png
US-10022606-B2,Training bat ,Ernest Haro,Ernest Haro,2014-03-29,2015-03-27,2018-07-17,2018-07-17,https://patents.google.com/patent/US10022606B2/en,https://patentimages.storage.googleapis.com/4c/06/1f/bee11043ee714a/US10022606-20180717-D00000.png
US-2015297971-A1,Sports training device ,"John D. Lindsey, Scott M. Rix","John D. Lindsey, Scott M. Rix",2011-04-21,2015-07-01,2015-10-22,,https://patents.google.com/patent/US20150297971A1/en,https://patentimages.storage.googleapis.com/eb/48/88/7640c067ab716e/US20150297971A1-20151022-D00001.png
US-2016303426-A1,Arrangement and method for configuring equipment ,Suunto Oy,"Mikko Martikka, Kimmo Pernu, Erik Lindman, Terho Lahtinen",2013-12-31,2016-06-22,2016-10-20,,https://patents.google.com/patent/US20160303426A1/en,https://patentimages.storage.googleapis.com/a5/62/96/8656a8f0004944/US20160303426A1-20161020-D00000.png
US-9636560-B1,Baseball training apparatus ,Cpy 2 Llc,"Thomas J. Celone, James Yablonowski, Randall Yablonowski, Cindy Yablonowski",2016-03-21,2016-08-12,2017-05-02,2017-05-02,https://patents.google.com/patent/US9636560B1/en,https://patentimages.storage.googleapis.com/f3/8f/6e/fead3058ba8fce/US09636560-20170502-D00000.png
US-8858372-B1,Table tennis skill improvement racket ,Alan Trieu,Alan Trieu,2012-07-10,2014-01-15,2014-10-14,2014-10-14,https://patents.google.com/patent/US8858372B1/en,https://patentimages.storage.googleapis.com/95/ea/19/03207a087e0983/US08858372-20141014-D00000.png
US-2014221134-A1,Light-up table tennis paddle and method ,"Indian Industries, Inc.","Gary Giegerich, John Graybill",2013-02-04,2014-01-30,2014-08-07,,https://patents.google.com/patent/US20140221134A1/en,https://patentimages.storage.googleapis.com/be/2e/f4/2a0ac0872bc3c2/US20140221134A1-20140807-D00000.png
CN-110523063-A,A kind of silkwood table tennis bat that rebound effect is good ,江苏南楠木作艺术有限公司,陆斌,2019-09-21,2019-09-21,2019-12-03,,https://patents.google.com/patent/CN110523063A/en,
US-2017021247-A1,Dual core pickleball paddle ,"Indian Industries, Inc.",Eric Marvin,2015-07-24,2016-07-20,2017-01-26,,https://patents.google.com/patent/US20170021247A1/en,https://patentimages.storage.googleapis.com/f5/83/f1/4be1db8ac221d5/US20170021247A1-20170126-D00000.png
US-7798925-B2,Double-sided ping pong paddle ,Brodmann Robert A,Robert A. Brodmann,2008-02-20,2009-02-19,2010-09-21,2010-09-21,https://patents.google.com/patent/US7798925B2/en,https://patentimages.storage.googleapis.com/78/9b/cf/7e907ad5ccbc3c/US07798925-20100921-D00000.png
US-8894516-B2,Table tennis paddle ,Glenn W. Tillery,Glenn W. Tillery,2013-02-01,2013-02-01,2014-11-25,2014-11-25,https://patents.google.com/patent/US8894516B2/en,https://patentimages.storage.googleapis.com/5e/20/b1/ec518720543d7e/US08894516-20141125-D00000.png
US-6969329-B2,Table tennis paddle with two handles ,Victor Popovich,Victor Popovich,2004-02-13,2004-02-13,2005-11-29,2005-11-29,https://patents.google.com/patent/US6969329B2/en,https://patentimages.storage.googleapis.com/US6969329B2/US06969329-20051129-D00000.png
US-2012010031-A1,Table tennis paddle ,Table Tennis Nation LLC,"Marty Reisman, Tony Ettinger, Steve Berger, Cooper Fallek",2010-07-12,2011-07-08,2012-01-12,,https://patents.google.com/patent/US20120010031A1/en,https://patentimages.storage.googleapis.com/66/94/2c/f235dfdf62c81b/US20120010031A1-20120112-D00000.png
CN-109276863-B,Table tennis bat ,金华芃泓商贸有限公司,"张德凤, 马俊峰",2018-12-02,2018-12-02,2020-07-28,2020-07-28,https://patents.google.com/patent/CN109276863B/en,
DE-102006034795-C5,"Method of applying a coating to a table tennis racket, and table tennis rackets ",Tt-Tuning Center Gmbh,Michael Schneider,2006-07-27,2006-07-27,2014-10-30,2014-10-30,https://patents.google.com/patent/DE102006034795C5/en,https://patentimages.storage.googleapis.com/ed/3f/87/0ed3867f6983ab/DE102006034795C5_0002.png
CN-108744446-A,A kind of plastic ping-pong racket of removable hand perspiration ,盐城市艾斯特体育器材有限公司,"王旭升, 汤小庆, 刘宗英, 许鸿祥, 王文嫔",2018-08-10,2018-08-10,2018-11-06,,https://patents.google.com/patent/CN108744446A/en,
US-8182374-B1,Portable ping-pong set ,Umbra Llc,Stephan Copeland,2011-11-03,2011-11-03,2012-05-22,2012-05-22,https://patents.google.com/patent/US8182374B1/en,https://patentimages.storage.googleapis.com/26/aa/74/b641c57718ebc1/US08182374-20120522-D00000.png
